"Section","QuestionID","Question","ChoiceA","ChoiceB","ChoiceC","ChoiceD","CorrectAnswer","Source"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0001","What is the name of the lowest layer of the atmosphere?","Troposphere","Stratosphere","Mesosphere","Thermosphere","Troposphere","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0002","What is the troposphere?","The part of the atmosphere below the tropopause","The part of the atmosphere above the stratosphere","The boundary between the stratosphere and the mesosphere","The boundary between the mesosphere and thermosphere","The part of the atmosphere below the tropopause","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0003","Which feature is characteristic of the troposphere?","There is an overall decrease of temperature with an increase of altitude","It contains all the water vapour present in the atmosphere","All weather phenomena occur only in the troposphere","The average altitude of the upper boundary of the troposphere is about 8 km","There is an overall decrease of temperature with an increase of altitude","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0004","Regarding the occurence of weather phenomena, which of the following is the most important component of the atmosphere?","Water vapour","Oxygen","Hydrogen","Nitrogen","Water vapour","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0005","What are the main components of the atmosphere?","Nitrogen, Oxygen, Carbon Dioxide, Argon","Oxygen, Carbon Dioxide, Xenon","Sulphur Dioxide, Carbon Dioxide, Particulates","Nitrogen, Oxygen, Carbon Dioxide, Ozone","Nitrogen, Oxygen, Carbon Dioxide, Argon","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0006","Which of the following statements is true concerning the tropopause?","The vertical extent of the tropopause above the equator is greater than above the poles","The tropopause is the separation layer between the stratosphere and atmosphere","The tropopause reaches the same height at all latitudes","The tropopause contains all the oxygen present in the atmosphere","The vertical extent of the tropopause above the equator is greater than above the poles","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0007","How does the height of the tropopause normally change with latitude in the northern hemisphere?","The height of the tropopause normally decreases from south to north","The height of the tropopause normally remains constant from north to south","The height of the tropopause normally increases from south to north","The height of the tropopause normally remains constant throughout the year","The height of the tropopause normally decreases from south to north","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0008","Which statement is true concerning the temperature at the tropopause?","Temperature at the tropopause is higher in the polar regions than in the equatorial regions","There is no significant difference in temperature with change of latitude","Temperature at the tropopause is higher in the equatorial regions than in the polar regions","Temperature at the tropopause is the highest in the mid-latitudes","Temperature at the tropopause is higher in the polar regions than in the equatorial regions","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0009","What is the most likely temperature at the tropical tropopause?","-75 °C","-35 °C","-55 °C","-25 °C","-75 °C","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0010","Concerning the tropopause, why is the position of the so-called 'tropopause breaks' important for aviation?","The cores of jet streams can be located near these breaks","From this position the direction of movement of high pressure systems can be derived","All winds will reverse direction in these breaks","Moderate to severe icing often occurs in these breaks","The cores of jet streams can be located near these breaks","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0011","What is the average extent of the stratosphere in the mid-latitudes?","11 to 50 km","0 to 11 km","50 to 85 km","85 to more than 200 km","11 to 50 km","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0012","Which statement is true concerning the cosmic radiation exposure?","Cosmic radiation exposure increases with latitude","Cosmic radiation exposure decreases with height","Cosmic radiation exposure increases with longitude","Cosmic radiation exposure is the most hazardous near the earth's surface","Cosmic radiation exposure increases with latitude","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0013","What are the main reasons behind establishing the International Standard Atmosphere? Select the most complete answer.","All answers are correct","It is neccesary for performance calculations in aircraft design and testing","It is neccesary for performance comparison in aircraft design and testing","It is neccesary for calibration of aircraft instruments","All answers are correct","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0014","Which statement is true regarding the International Standard Atmosphere model? Select the most complete answer.","ISA temperature lapse rate is equal to 0.65°C/100 m (1.98°C/1,000 ft) between 0 and 11 km","All answers are correct","ISA MSL pressure is equal to 1013 hPa, and MSL temperature is equal to (-15)°C","ISA temperature lapse rate is equal to 0.65°C/100 m (1.98°C/1,000 ft) between 11 and 20 km","ISA temperature lapse rate is equal to 0.65°C/100 m (1.98°C/1,000 ft) between 0 and 11 km","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0015","An outside air temperature of -35°C is measured while cruising at FL200. What is the temperature deviation from the ISA at this level?","10 °C colder than ISA","5 °C colder than ISA","10 °C warmer than ISA","5 °C warmer than ISA","10 °C colder than ISA","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0016","What altitude change corresponds to 1 hPa around the altitude of 20,000 ft?","50 ft","36 ft","27 ft","60 ft","50 ft","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0017","How is temperature defined?","Temperature is a measure of the average kinetic energy of all molecules forming a system","The quantity of energy transferred as heat in a process","The sum of the system's internal energy and the product of its pressure and volume","No other answer is correct","Temperature is a measure of the average kinetic energy of all molecules forming a system","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0018","Which answer shows the correct formula for determining the temperature in °C if the temperature in °F is known?","°C = (°F – 32) ÷ 1.8","°C = °F × 1.8 + 32","°C = °F + 273","°C = °F – 273","°C = (°F – 32) ÷ 1.8","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0019","Which of the listed processes is not responsible for heating of the troposphere?","Evaporation","Convection","Solar and terrestrial radiation","Condensation","Evaporation","Evionica"
"Meteorology – Q1 050.01(1)","Q1 050.01(1) Q0020","Which statement is true concerning solar radiation?","No other answer is correct","Solar radiation is easily absorbed by greenhouse gases","Solar radiation heats the troposphere directly","Solar radiation is long wave electromagnetic radiation","No other answer is correct","Evionica"
