"Section","QuestionID","Question","ChoiceA","ChoiceB","ChoiceC","ChoiceD","CorrectAnswer","Source"
"Human Factors – 040.01","040.01 Q0001","What percentage (approximately) of aviation accidents since 1980s was caused by human factors?","0,8","Option 2","Option 3","Option 4","0,8","Synthesized"
"Human Factors – 040.01","040.01 Q0002","Why is Reason's accident causation model called 'Swiss Cheese Model'?","Because it features holes in multiple layers of error defence","Option 2","Option 3","Option 4","Because it features holes in multiple layers of error defence","Synthesized"
"Human Factors – 040.01","040.01 Q0003","What does Shell in Shell model of human factors mean?","It's an acronym: Software, Hardware, Environment, Liveware and Liveware","Option 2","Option 3","Option 4","It's an acronym: Software, Hardware, Environment, Liveware and Liveware","Synthesized"
"Human Factors – 040.01","040.01 Q0004","Which of the following statements regarding just culture is true?","is an atmosphere of trust in which people are encouraged to report safety information and are not held responsible for honest mistakes","Option 2","Option 3","Option 4","is an atmosphere of trust in which people are encouraged to report safety information and are not held responsible for honest mistakes","Synthesized"
"Human Factors – 040.01","040.01 Q0005","What is an error?","A result of human action or inaction that causes a deviation from organisational or flight crew intentions or expectations","Option 2","Option 3","Option 4","A result of human action or inaction that causes a deviation from organisational or flight crew intentions or expectations","Synthesized"
"Human Factors – 040.01","040.01 Q0006","Which of these is NOT a part of software in the Shell model?","Flight Management System in an aircraft","Option 2","Option 3","Option 4","Flight Management System in an aircraft","Synthesized"
"Human Factors – 040.01","040.01 Q0007","Which of the following is true regarding the accessibility of engines for maintenance?","It is acknowleged in the Shell model because it concerns people interacting with aircraft","Option 2","Option 3","Option 4","It is acknowleged in the Shell model because it concerns people interacting with aircraft","Synthesized"
"Human Factors – 040.01","040.01 Q0008","What is safety culture?","It's the way safety is perceived, prioristised and valued in an organisation.","Option 2","Option 3","Option 4","It's the way safety is perceived, prioristised and valued in an organisation.","Synthesized"
"Human Factors – 040.01","040.01 Q0009","What does TEM stand for?","Threat and Error Management","Option 2","Option 3","Option 4","Threat and Error Management","Synthesized"
"Human Factors – 040.01","040.01 Q0010","What are the components of TEM?","Threats, errors and undesired aircraft states.","Option 2","Option 3","Option 4","Threats, errors and undesired aircraft states.","Synthesized"
"Human Factors – 040.01","040.01 Q0011","What is an aircraft flying through a storm that could have been avoided an example of?","an undesired aircraft state","Option 2","Option 3","Option 4","an undesired aircraft state","Synthesized"
"Human Factors – 040.01","040.01 Q0012","What is a storm over the destination airport that has been reported in the METAR an example of?","an anticipated threat","Option 2","Option 3","Option 4","an anticipated threat","Synthesized"
"Human Factors – 040.01","040.01 Q0013","Which group contains only environmental threats for the pilot?","Bad weather, difficult terrain, overworked ATC, other aircraft","Difficult terrain, delays, overworked ATC, bad weather","Option 2","Option 3","Bad weather, difficult terrain, overworked ATC, other aircraft","Synthesized"
"Human Factors – 040.01","040.01 Q0014","What is a latent threat?","It is a threat that rarely manifests itself and is hard to directly observe or detect by the air crew.","Option 2","Option 3","Option 4","It is a threat that rarely manifests itself and is hard to directly observe or detect by the air crew.","Synthesized"
"Human Factors – 040.01","040.01 Q0015","Which of these is NOT one of the pilot's core competencies according to ICAO?","Memory and learning","Option 2","Option 3","Option 4","Memory and learning","Synthesized"
"Human Factors – 040.01","040.01 Q0016","Which of the statements regarding the professional culture is true?","It is a set of similar behaviours and values adopted by people working in the same profession","Option 2","Option 3","Option 4","It is a set of similar behaviours and values adopted by people working in the same profession","Synthesized"
"Human Factors – 040.01","040.01 Q0017","What is the concern of the environment of the Shell model?","Natural surroundings, social and economic context in which aircraft and aviation personnel operate.","Option 2","Option 3","Option 4","Natural surroundings, social and economic context in which aircraft and aviation personnel operate.","Synthesized"
"Human Factors – 040.01","040.01 Q0018","Which group contains only the elements that form a safety culture according to James Reason?","Informed culture, Reporting culture, Learning culture, Flexible culture, Just culture","Option 2","Option 3","Option 4","Informed culture, Reporting culture, Learning culture, Flexible culture, Just culture","Synthesized"
"Human Factors – 040.01","040.01 Q0019","What is an SMS in aviation?","Safety Management System","Option 2","Option 3","Option 4","Safety Management System","Synthesized"
"Human Factors – 040.01","040.01 Q0020","Which of these is a part of an SMS?","Risk management","Option 2","Option 3","Option 4","Risk management","Synthesized"
"Human Factors – 040.01","040.01 Q0021","What are the errors divided under TEM?","Procedural errors, communication errors and aircraft handling errors","Option 2","Option 3","Option 4","Procedural errors, communication errors and aircraft handling errors","Synthesized"
"Human Factors – 040.01","040.01 Q0022","Which of the following statements regarding safety is true?","Correctly managed threats do not lead to errors","Option 2","Option 3","Option 4","Correctly managed threats do not lead to errors","Synthesized"
"Human Factors – 040.01","040.01 Q0023","Pilot pulling a sidestick/yoke hard when the aircraft is at a critical angle of attack is an example of:","an error","Option 2","Option 3","Option 4","an error","Synthesized"
"Human Factors – 040.01","040.01 Q0024","Which sentence describes closed culture organisations?","Failures are covered up","Option 2","Option 3","Option 4","Failures are covered up","Synthesized"
"Human Factors – 040.01","040.01 Q0025","Implementing effective communication regarding safety:","is part of an SMS","Option 2","Option 3","Option 4","is part of an SMS","Synthesized"
"Human Factors – 040.01","040.01 Q0026","040.01 Q0026 : Which of the following statements regarding threats and errors is true?","They are part of everyday operations","Option 2","Option 3","Option 4","They are part of everyday operations","Synthesized"
"Human Factors – 040.01","040.01 Q0027","What is a threat?","an event beyond pilot's control that increases complexity of a given task","Option 2","Option 3","Option 4","an event beyond pilot's control that increases complexity of a given task","Synthesized"
"Human Factors – 040.01","040.01 Q0028","Which of the following desribe insufficient pilot training?","It is an organisational and latent threat","Option 2","Option 3","Option 4","It is an organisational and latent threat","Synthesized"
"Human Factors – 040.01","040.01 Q0029","What statements are true regarding GPWS (Ground Proximity Warning System)?","It is an example of countermeasures against threats, errors and undesired aircraft states","Option 2","Option 3","Option 4","It is an example of countermeasures against threats, errors and undesired aircraft states","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0001","What is the composition of Earth's atmosphere?","Nitrogen 78%, Oxygen 21%, Other 1%","Option 2","Option 3","Option 4","Nitrogen 78%, Oxygen 21%, Other 1%","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0002","At what altitude does air pressure fall to 50% of sea level pressure?","18,000 ft","Option 2","Option 3","Option 4","18,000 ft","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0003","Which statement describes the International Standard Atmosphere?","Pressure falls with altitude in the whole atmosphere, temperature falls in the troposphere but remains constant in the stratosphere until upper limit of ICAO ISA","Option 2","Option 3","Option 4","Pressure falls with altitude in the whole atmosphere, temperature falls in the troposphere but remains constant in the stratosphere until upper limit of ICAO ISA","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0004","Up to what altitude does the atmosphere composition remain constant?","70,000 ft","Option 2","Option 3","Option 4","70,000 ft","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0005","Which of the following is true regarding ozone?","It consists of 3 oxygen atoms","Option 2","Option 3","Option 4","It consists of 3 oxygen atoms","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0006","What relative humidity is required for human comfort?","40% - 60%","Option 2","Option 3","Option 4","40% - 60%","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0007","Where does cosmic radiation come from? Select the most complete answer.","Sun and galaxy","Option 2","Option 3","Option 4","Sun and galaxy","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0008","Which statement describes the exposition to cosmic radiation?","Bigger at high altitudes","Option 2","Option 3","Option 4","Bigger at high altitudes","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0009","Where does oxygen pass into the blood?","In the alveoli","Option 2","Option 3","Option 4","In the alveoli","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0010","How is oxygen and carbon dioxide carried in the blood?","Oxygen gets attached to haemoglobin and carbon dioxide is dissolved in blood","Option 2","Option 3","Option 4","Oxygen gets attached to haemoglobin and carbon dioxide is dissolved in blood","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0011","What volume of air does a healthy man inhale normally?","500 ml","Option 2","Option 3","Option 4","500 ml","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0012","When taking a deep breath, how much air can a healthy male inhale?","3500 ml","Option 2","Option 3","Option 4","3500 ml","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0013","Which of the following describes pulmonary volumes?","20-25% smaller for women than for men","Option 2","Option 3","Option 4","20-25% smaller for women than for men","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0014","What is the average pressure at sea level?","760mmHg","Option 2","Option 3","Option 4","760mmHg","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0015","What is the percentage of oxygen and carbon dioxide in alveolar air at sea level?","14% oxygen and 5.3% carbon dioxide","Option 2","Option 3","Option 4","14% oxygen and 5.3% carbon dioxide","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0016","What is the minimum partial pressure of oxygen in the alveoli for an untrained human?","55 mmHg","103 mmHg","Option 2","Option 3","55 mmHg","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0017","Breathing pure oxygen in an unpressurised aircraft at 40,000 ft is equivalent to breathing normal air at what altitude?","10,000 ft","Option 2","Option 3","Option 4","10,000 ft","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0018","Breathing pure oxygen in an unpressurised aircraft at 30,000 ft is equivalent to breathing normal air at what altitude?","Sea level","Option 2","Option 3","Option 4","Sea level","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0019","How high can an average human breathe ambient, non-pressurised air without side-effects?","10,000 ft","Option 2","Option 3","Option 4","10,000 ft","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0020","What is the initial symptom of hypoxia?","Blue tinged lips and fingers","Option 2","Option 3","Option 4","Blue tinged lips and fingers","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0021","What happens at low carbon dioxide blood levels?","Oxygen moves into tissues slowly","Option 2","Option 3","Option 4","Oxygen moves into tissues slowly","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0022","If you experience euphoria, loss of sensation in fingertips, cyanosis and/or impaired judgement, what might you be suffering from?","Hypoxia","Option 2","Option 3","Option 4","Hypoxia","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0023","When breathing pure oxygen, at what altitude do you need to pressurise the aircraft to provide enough oxygen for your body?","40,000 ft","Option 2","Option 3","Option 4","40,000 ft","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0024","Euphoria, dizziness, headache, tunnel vision. These are symptoms of which zone (stage) of hypoxia?","Disturbance zone","Option 2","Option 3","Option 4","Disturbance zone","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0025","What is the time of useful consciousness after a rapid decompression at 30,000 ft?","30 seconds","Option 2","Option 3","Option 4","30 seconds","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0026","What increases the risk of decompression sickness in flight?","Scuba diving before flight","Option 2","Option 3","Option 4","Scuba diving before flight","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0027","What is the cabin pressure in flight is equal to in commercial jet aircraft?","Pressure at 8,000 ft","Pressure at 10,000 ft","Option 2","Option 3","Pressure at 8,000 ft","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0028","What are the types of blood cells? Select the most complete answer","Red blood cells, white blood cells and platelets","Option 2","Option 3","Option 4","Red blood cells, white blood cells and platelets","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0029","What is anaemia?","Lack of haemoglobin or red blood cells in the blood","Option 2","Option 3","Option 4","Lack of haemoglobin or red blood cells in the blood","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0030","What is the desire to breathe driven by?","The blood concentration of CO2","The blood concentration of oxygen","Option 2","Option 3","The blood concentration of CO2","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0031","What is hyperventilation caused by?","Too low CO2 concentration in blood","Option 2","Option 3","Option 4","Too low CO2 concentration in blood","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0032","Which statement describes carbon monoxide?","It is toxic as it binds with haemoglobin, blocking it from carrying oxygen","Option 2","Option 3","Option 4","It is toxic as it binds with haemoglobin, blocking it from carrying oxygen","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0033","What should you NOT do to counteract hyperventilation?","Attempt to take a deep breath","Option 2","Option 3","Option 4","Attempt to take a deep breath","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0034","What is the human heart divided into?","2 atria (atriums) and 2 ventricles","Option 2","Option 3","Option 4","2 atria (atriums) and 2 ventricles","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0035","What is the route of oxygenated blood in the human body?","From the lungs, through left artrium and left ventricle into the body","From the lungs, through right atrium and right ventricle into the body","Option 2","Option 3","From the lungs, through left artrium and left ventricle into the body","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0036","What is the route of deoxygenated blood in the human body?","From the body, through right atrium and right ventricle into the lungs","Option 2","Option 3","Option 4","From the body, through right atrium and right ventricle into the lungs","Synthesized"
