"Section","QuestionID","Question","ChoiceA","ChoiceB","ChoiceC","ChoiceD","CorrectAnswer","Source"
"Airframe – 021.01","021.01 Q0001","What is the unit of strain?","Strain is unitless","N/mm^2","Pascal (Pa)","kg/m^3","Strain is unitless","Merged"
"Airframe – 021.01","021.01 Q0002","What is the unit of stress?","N/mm^2","Strain is unitless","kg only","m/s^2 only","N/mm^2","Merged"
"Airframe – 021.01","021.01 Q0003","What are the basic loads that occur in bending? Select the most complete answer. I. Tension II. Torsion III. Shear IV. Compression","I, III, and IV","I and IV","I, II, III and IV","I and II only","I, III, and IV","Merged"
"Airframe – 021.01","021.01 Q0004","What characterises the dynamic loads?","They are dependent on time","Aeroplanes are designed with multiple systems or elements that serve the same purpose","Items or assemblies are removed based on their operational time","Strain is unitless","They are dependent on time","Merged"
"Airframe – 021.01","021.01 Q0005","What is the consequence of material fatigue?","Decreased material strength, possibly leading to structural failure","Increased material strength with no loss of integrity","Failure only possible under a single static ultimate load","Fatigue cracks never initiate at stress concentrations","Decreased material strength, possibly leading to structural failure","Merged"
"Airframe – 021.01","021.01 Q0006","Which factors influence fatigue behaviour? Select the most complete answer.","All answers are correct","Cyclic loading and stress amplitude","Material properties and stress concentrations (notches, holes, fillets)","Environmental effects such as corrosion and temperature variation","All answers are correct","Merged"
"Airframe – 021.01","021.01 Q0007","What is the cause of material fatigue?","Cyclic loading","Static loading","Dynamic loading","Buckling of the structure","Cyclic loading","Evionica"
"Airframe – 021.01","021.01 Q0008","Which of these areas are susceptible to stress corrosion? Select the most complete answer.","Landing gear legs","Empennage","Wingtips","Nose-wheel aircraft never use oleo strut shock absorption","Landing gear legs","Evionica"
"Airframe – 021.01","021.01 Q0009","What is the purpose of EASA certification? Select the most complete answer.","To ensure that aircraft complies with safety requirements","To enable easier tracking of aircraft supply and demand in EASA member states","CS-23 covers only large transport aeroplanes above 100 tonnes","CS-25 applies exclusively to balloons and gliders","To ensure that aircraft complies with safety requirements","Merged"
"Airframe – 021.01","021.01 Q0010","What types of aeroplanes are included in CS-23 certification specification? Select the most complete answer. i.Normal ii. Large aeroplanes iii. Aerobatic and Commuter iv. Utility","I, III and IV","I and II only","II and III only","I, II and III","I, III and IV","Merged"
"Airframe – 021.01","021.01 Q0011","What is the maximum capacity of commuter category aeroplanes?","19 or fewer seats, excluding pilot(s)","CS-23 covers only large transport aeroplanes above 100 tonnes","CS-25 applies exclusively to balloons and gliders","Commuter category aeroplanes may have unlimited seating","19 or fewer seats, excluding pilot(s)","Merged"
"Airframe – 021.01","021.01 Q0012","What is the MTOW (Maximum Take-off Weight) of normal, utility and aerobatic category aeroplanes?","5670 kg (12500 lb)","CS-23 covers only large transport aeroplanes above 100 tonnes","CS-25 applies exclusively to balloons and gliders","Commuter category aeroplanes may have unlimited seating","5670 kg (12500 lb)","Merged"
"Airframe – 021.01","021.01 Q0013","What types of aeroplanes are included in CS-25 certification specification? Select the most complete answer. i.Normal ii. Large aeroplanes iii. Aerobatic and Commuter iv. Utility","Only II","I and II only","II and III only","I, II and III","Only II","Merged"
"Airframe – 021.01","021.01 Q0014","What is the basic principle of safe-life design philosophy?","The structure is replaced or removed based on its design life","Damage tolerance assumes cracks never initiate in service","Safe-life design relies only on visual inspection after failure","I and II only","The structure is replaced or removed based on its design life","Merged"
"Airframe – 021.01","021.01 Q0015","What is the basic principle of fail-safe design philosophy?","If one part of the structure fails, its loads are taken by another adjacent part","The structure is replaced or removed based on its design life","Multiple systems or elements serve the same purpose","The structure is designed in such a way, that a failure is impossible, hence the fail-safe name","If one part of the structure fails, its loads are taken by another adjacent part","Evionica"
"Airframe – 021.01","021.01 Q0016","What is the basic principle of redundancy?","Multiple systems or elements serve the same purpose","All mission critical equipment is mounted in a single space to provide easier maintenance access","Each element or system serves a single purpose, but their operation is monitored in real time","The structure is replaced or removed based on its design life","Multiple systems or elements serve the same purpose","Evionica"
"Airframe – 021.01","021.01 Q0017","What is the basic principle of hard time maintenance?","Items or assemblies are removed based on their operational time","They are dependent on time","Wingtips","Decreased material strength, possibly leading to structural failure","Items or assemblies are removed based on their operational time","Merged"
"Airframe – 021.01","021.01 Q0018","What is the basic principle of on condition maintenance?","Items or assemblies are removed for service when sign of imminent failure present themselves","Items or assemblies are removed based on their operational time","Aeroplanes are designed with multiple systems or elements that serve the same purpose","Items or assemblies are removed for service when maintenance personnel decides to do so","Items or assemblies are removed for service when sign of imminent failure present themselves","Evionica"
"Airframe – 021.02 (1)","021.02 (1) Q0001","Which attachment method is most commonly used in aircraft construction?","Riveting","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","Composite structures never require bonding or fasteners","Riveting","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0002","In which direction do rivets work best? Select the most complete answer.","Shear","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","Composite structures never require bonding or fasteners","Shear","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0003","Which attachment method requires high heat during manufacture process?","Welding","Good upward visibility and access to engines mounted under the wings","Higher ground clearance for engines and more convenient access to rear-fuselage cargo door","Aeroplane's acceleration in all 3 axes must be equal to 0","Welding","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0004","Which attachment method is used to seal impermeable components, such as fuel tanks?","Adhesive bonding","Interference with the airflow coming off the wings creates a yawing moment preventing the spin recovery","It takes the loads generated by the pressure differences","Good upward visibility and access to engines mounted under the wings","Adhesive bonding","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0005","Which attachment method is mainly used to attach lighter aircraft components?","Screwing","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","Composite structures never require bonding or fasteners","Screwing","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0006","Which attachment method involves fusing two materials together?","Welding","It generates lift force at the back of the aeroplane, upsetting the spin recovery","Higher ground clearance for engines and more convenient access to rear-fuselage cargo door","Most composites are electrical insulators, so conductive metal meshes are used in composite structures.","Welding","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0007","Use of which materials is increasing in modern aircraft construction?","Composites","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","Composite structures never require bonding or fasteners","Composites","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0008","Which metal is most commonly used in aircraft construction?","Aluminium","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","Composite structures never require bonding or fasteners","Aluminium","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0009","What is the main difference between composites and metal alloys?","In composites elements stay separate, instead of mixing as they do in alloys","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","Composite structures never require bonding or fasteners","In composites elements stay separate, instead of mixing as they do in alloys","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0010","What materials are used for composite matrices in aviation?","Epoxy and polyester resins","Ice always increases lift and decreases drag","Pneumatic boots are used only on jet engine intakes","Carburettor heat always richens the mixture automatically","Epoxy and polyester resins","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0011","What are 3 most widely used reinforcing materials in aviation composite structures?","Carbon, glass and aramid fibres","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","Composite structures never require bonding or fasteners","Carbon, glass and aramid fibres","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0012","Why can the composite structures be designed for a single direction of the load?","Because they are anisotropic, and their properties are not the same in all directions","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","Composite structures never require bonding or fasteners","Because they are anisotropic, and their properties are not the same in all directions","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0013","Which sentence describing the electrical conductivity of the composites is true?","Most composites are electrical insulators, so conductive metal meshes are used in composite structures.","Most composites conduct electricity easily, so conductive composite meshes are used in metal structures.","Composites conduct electricity very similarly to metals","Electrical conductivity of composites depends heavily on their carbon content","Most composites are electrical insulators, so conductive metal meshes are used in composite structures.","Evionica"
"Airframe – 021.02 (1)","021.02 (1) Q0014","What is the advantage of a high-mounted wing configuration?","Higher ground clearance for engines and more convenient access to rear-fuselage cargo door","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","Composite structures never require bonding or fasteners","Higher ground clearance for engines and more convenient access to rear-fuselage cargo door","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0015","What is the advantage of a low-mounted wing configuration?","Good upward visibility and access to engines mounted under the wings","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","Composite structures never require bonding or fasteners","Good upward visibility and access to engines mounted under the wings","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0016","What is the most serious disadvantage of the T-tail configuration?","Susceptibility to a deep stall, with tailplane placed in the stream of highly disturbed air coming off the wings","Compressor stall always increases thrust smoothly","FADEC has no authority over fuel scheduling","Bleed valves increase compressor stall risk when opened","Susceptibility to a deep stall, with tailplane placed in the stream of highly disturbed air coming off the wings","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0017","How is mid- or low-mounted tailplane disadvantageous in a spin? Select the most complete answer.","It shields the rudder from the airflow, decreasing its authority","Interference with the airflow coming off the wings creates a yawing moment preventing the spin recovery","It generates lift force at the back of the aeroplane, upsetting the spin recovery","The lift must counteract the weight of the aeroplane","It shields the rudder from the airflow, decreasing its authority","Evionica"
"Airframe – 021.02 (1)","021.02 (1) Q0018","What is the main function of the wing spar?","It absorbs the bending generated by the lift force","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","Composite structures never require bonding or fasteners","It absorbs the bending generated by the lift force","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0019","What is the main function of the skin?","It takes the loads generated by the pressure differences","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","Composite structures never require bonding or fasteners","It takes the loads generated by the pressure differences","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0020","What is the main function of the stringers?","They support the skin","They provide traction for the control surfaces","They take the loads generated by the pressure differences","They pass loads from the landing gear, engines and control surfaces to wing spars and ribs","They support the skin","Evionica"
