"Section","QuestionID","Question","ChoiceA","ChoiceB","ChoiceC","ChoiceD","CorrectAnswer","Source"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0001","What was the name of the first convention dealing with international aviation problems, air navigation, and related political problems?","The Stockholm Convention","The London Convention","The Berlin Convention","The Paris Convention","The Paris Convention","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0002","In which year was the first convention dealing with international aviation problems, air navigation, and related political problems signed?","1920","1922","1921","1919","1919","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0003","In which year was the International Civil Aviation Organization (ICAO) established?","1946","1945","1944","1940","1944","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0004","Where are the ICAO headquarters located?","Montreal, Quebec, Canada","New York, USA","Los Angeles, USA","Chicago, USA","Montreal, Quebec, Canada","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0005","At which convention was ICAO established?","The Paris Convention","The Chicago Convention","The Berlin Convention","The Montanna Convention","The Chicago Convention","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0006","What are the purposes of the ICAO?","To develop the principles and techniques of international air navigation and support the planning and development of international air transportation","It is regulated only at the national level","It applies only to military aircraft","All of the above","To develop the principles and techniques of international air navigation and support the planning and development of international air transportation","Synthesized"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0007","How often does the Assembly of the ICAO meet?","Every 4 years","Every year","Every 2 years","Every 3 years","Every 3 years","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0008","What is the Assembly?","The Assembly is the name of the headquarters of the ICAO","The Assembly is another name for the ICAO","The Assembly is the name of the head of the ICAO","The Assembly is the sovereign and principal body of the ICAO","The Assembly is the sovereign and principal body of the ICAO","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0009","What is the Council?","The Council is the permanent body of the ICAO","It is regulated only at the national level","It applies only to military aircraft","All of the above","The Council is the permanent body of the ICAO","Synthesized"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0010","What is the duration of the term of the president of the Council?","3 years","1 year","2 years","6 months","3 years","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0011","How many contracting states make up the ICAO Council?","36","30","46","26","36","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0012","Which body is responsible for introducing Procedures for Air Navigation Services?","The Finance Committee","The Air Navigation Commission","The Air Navigation Bureau","The Air Transport Committee","The Air Navigation Commission","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0013","What does the Air Navigation Commission do?","The Air Navigation Commission analyzes accidents that have occurred due to navigational issues","The Air Navigation Commission ensures all airports have the correct navigational instruments installed","The Air Navigation Commission analyzes and promotes Standards and Recommended Practices (SARPs)","The Air Navigation Commission provides administrative and technical assistance to The Council","The Air Navigation Commission analyzes and promotes Standards and Recommended Practices (SARPs)","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0014","How many members make up the Air Navigation Commission?","18","20","17","19","19","Synthesized"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0015","Which body provides administrative and technical assistance to the Council?","The Air Transport Committee","The Air Navigation Bureau","The Finance Committee","The Secretariat","The Secretariat","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0016","What does SARPs stand for?","Standards and Recommended Practices","It does not require any specific action","It varies by contracting state","It is not regulated by ICAO","Standards and Recommended Practices","Synthesized"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0017","Where are the guidelines for SARPs described?","The guidelines for SARPs are described in Article 27","The guidelines for SARPs are described in Article 37","The guidelines for SARPs are described in Article 35","The guidelines for SARPs are described in Article 39","The guidelines for SARPs are described in Article 37","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0018","What makes up the territory of a state? Select the most complete answer.","Only the first option","None of the above","Only the third option","All answers are correct: The land areas adjacent thereto under the sovereignty of a state, The territorial waters adjacent thereto under the sovereignty of a state, The land area adjacent thereto under the protection of a state","All answers are correct: The land areas adjacent thereto under the sovereignty of a state, The territorial waters adjacent thereto under the sovereignty of a state, The land area adjacent thereto under the protection of a state","Synthesized"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0019","Who provides search and rescue within a state territory?","ICAO","EASA","NASA","The state","The state","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0020","At what times must search and rescue be provided by the state?","24 hours per day Monday to Friday","Between 8 AM and 8 PM","At all times","Between 4 AM and 12 PM every day","At all times","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0021","How many states can aircraft be registered in?","0","2","3","1","1","Synthesized"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0022","What are high seas territories?","High seas territories are areas beyond territorial waters, in which all ships and all aircraft are allowed to pass unhindered","High seas territories are areas beyond territorial waters, in which ships and all aircraft are not allowed to pass","High seas territories are territories where the sea level is above the usual level","High seas territories are areas that are susceptible to typhoons or hurricanes","High seas territories are areas beyond territorial waters, in which all ships and all aircraft are allowed to pass unhindered","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0023","Where was the high seas territories right of way established?","At the Geneva Convention on the High Seas","It is established at national level by each contracting state","At the headquarters of the operator","ICAO does not specify a location","At the Geneva Convention on the High Seas","Synthesized"
