"Section","QuestionID","Question","ChoiceA","ChoiceB","ChoiceC","ChoiceD","CorrectAnswer","Source"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0001","What was the name of the first convention dealing with international aviation problems, air navigation, and related political problems?","The Paris Convention","The London Convention","The Berlin Convention","The Paris Convention","The Paris Convention","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0002","In which year was the first convention dealing with international aviation problems, air navigation, and related political problems signed?","1919","1922","1921","1919","1919","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0003","In which year was the International Civil Aviation Organization (ICAO) established?","1944","1945","1944","1940","1944","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0004","Where are the ICAO headquarters located?","Montreal, Quebec, Canada","New York, USA","Los Angeles, USA","Chicago, USA","Montreal, Quebec, Canada","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0005","At which convention was ICAO established?","The Chicago Convention","The Chicago Convention","The Berlin Convention","The Montanna Convention","The Chicago Convention","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0006","What are the purposes of the ICAO?","To develop the principles and techniques of international air navigation and support the planning and development of international air transportation","To certify all civil aircraft individually before they enter service worldwide","To investigate every aircraft accident on behalf of the contracting state","To set fuel prices and route charges for international airlines","To develop the principles and techniques of international air navigation and support the planning and development of international air transportation","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0007","How often does the Assembly of the ICAO meet?","Every 4 years","Every year","Every 2 years","Every 3 years","Every 3 years","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0008","What is the Assembly?","The Assembly is the sovereign and principal body of the ICAO","The Assembly is another name for the ICAO","The Assembly is the name of the head of the ICAO","The Assembly is the sovereign and principal body of the ICAO","The Assembly is the sovereign and principal body of the ICAO","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0009","What is the Council?","The Council is the permanent body of the ICAO","The Secretariat provides administrative and technical assistance to the Council","The Finance Committee reviews the ICAO budget and finances on behalf of the Council","The Air Navigation Commission analyses and promotes Standards and Recommended Practices (SARPs)","The Council is the permanent body of the ICAO","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0010","What is the duration of the term of the president of the Council?","3 years","1 year","2 years","6 months","3 years","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0011","How many contracting states make up the ICAO Council?","36","30","46","26","36","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0012","Which body is responsible for introducing Procedures for Air Navigation Services?","The Air Navigation Commission","The Air Navigation Commission","The Air Navigation Bureau","The Air Transport Committee","The Air Navigation Commission","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0013","What does the Air Navigation Commission do?","The Air Navigation Commission analyzes and promotes Standards and Recommended Practices (SARPs)","The Air Navigation Commission ensures all airports have the correct navigational instruments installed","The Air Navigation Commission analyzes and promotes Standards and Recommended Practices (SARPs)","The Air Navigation Commission provides administrative and technical assistance to The Council","The Air Navigation Commission analyzes and promotes Standards and Recommended Practices (SARPs)","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0014","How many members make up the Air Navigation Commission?","19","18","20","17","19","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0015","Which body provides administrative and technical assist to the council?","The Secretariat","The Air Navigation Bureau","The Finance Committee","The Secretariat","The Secretariat","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0016","What does SARPs stand for?","Standards and Recommended Practices","Standards Aviation Reference Practices","Automatic Terminal Information Service","Direct Entry Route","Standards and Recommended Practices","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0017","Where are the guidelines for SARPs decribed ?","The guidelines for SARPs are described in Article 27","The guidelines for SARPs are described in Article 37","The guidelines for SARPs are described in Article 35","The guidelines for SARPs are described in Article 39","The guidelines for SARPs are described in Article 37","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0018","What makes up the territory of a state? Select the most complete answer.","All answers are correct","Only the first option is correct","None of the above","Only some of the options are correct","All answers are correct","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0019","Who provides search and rescue within a state territory?","The state","EASA","NASA","The state","The state","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0020","At what times must search and rescue be provided by the state?","At all times","Between 8 AM and 8 PM","At all times","Between 4 AM and 12 PM every day","At all times","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0021","How many states can aircraft be registered in?","1","0","2","3","1","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0022","What are high seas territories?","High seas territories are areas beyond territorial waters, in which all ships and all aircraft are allowed to pass unhindered","High seas territories are areas beyond territorial waters, in which ships and all aircraft are not allowed to pass","High seas territories are territories where the sea level is above the usual level","High seas territories are areas that are susceptible to typhoons or hurricanes","High seas territories are areas beyond territorial waters, in which all ships and all aircraft are allowed to pass unhindered","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0023","Where was the high seas territories right of way established?","At the Geneva Convention on the High Seas","At the Paris Convention of 1919","At the Warsaw Convention of 1929","At the Hague Convention of 1970","At the Geneva Convention on the High Seas","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0024","What is sovereignty ?","Sovereignty is the right of the contracting state to govern and dictate its national law on users of its territorial airspace","Sovereignty refers to the concept of an internationally recognized state under the protection of another usually larger and more powerful state","Sovereignty is the right of states to operate their airlines without competition from foreign carriers","Sovereignty is the principle that all aircraft enjoy the right of innocent passage over foreign territory","Sovereignty is the right of the contracting state to govern and dictate its national law on users of its territorial airspace","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0025","What is suzerainty?","Suzerainty refers to the concept of nations accepting the rules and regulations agreed by community consent at international conventions","Suzerainty refers to the concept of an internationally recognized state under the protection of another usually larger and more powerful state","Suzerainty refers to the concept of nations accepting the rules and regulations agreed by community consent at international conventions","Suzerainty is the right of the contracting state to govern and dictate its national law on users of its territorial airspace","Suzerainty refers to the concept of nations accepting the rules and regulations agreed by community consent at international conventions","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0026","Which aircraft does the Chicaco convention apply to ?","Civil aircraft","Civil aircraft","All aircraft","State aircraft","Civil aircraft","PDF"
